SheetName|ListObjectName|ListObjectHeader|IsFormula|Formula
BackupTableGenerator|tbl_TableGeneratorBackup|NullHeader|False|
ModelMeasures|tbl_ModelMeasures|Name|False|
ModelMeasures|tbl_ModelMeasures|Visible|False|
ModelMeasures|tbl_ModelMeasures|Unique Name|False|
ModelMeasures|tbl_ModelMeasures|DAX Expression|False|
ModelMeasures|tbl_ModelMeasures|Name and Expression|False|
ModelCalcColumns|tbl_ModelCalcColumns|Name|False|
ModelCalcColumns|tbl_ModelCalcColumns|Table Name|False|
ModelCalcColumns|tbl_ModelCalcColumns|Expression|False|
ModelColumns|tbl_ModelColumns|Name|False|
ModelColumns|tbl_ModelColumns|Table Name|False|
ModelColumns|tbl_ModelColumns|Unique Name|False|
ModelColumns|tbl_ModelColumns|Visible|False|
ModelColumns|tbl_ModelColumns|Is calculated column|True|=COUNTIFS(tbl_ModelCalcColumns[Name], [@Name]) = 1
ModelRelationships|tbl_ModelRelationships|Primary Key Table|False|
ModelRelationships|tbl_ModelRelationships|Primary Key Column|False|
ModelRelationships|tbl_ModelRelationships|Foreign Key Table|False|
ModelRelationships|tbl_ModelRelationships|Foreign Key Column|False|
ModelRelationships|tbl_ModelRelationships|Active|False|
PqTableGenerator|tbl_PqTableGenerator|Column_1|False|
PqTableGenerator|tbl_PqTableGenerator|Column_2|False|
PqTableGenerator|tbl_PqTableGenerator|Column_3|False|
PqTableGenerator|tbl_PqTableGenerator|Column_4|False|
PqTableGenerator|tbl_PqTableGenerator|Column_5|False|
